"#AGTG Extremely happy and blessed to say that I have received an offer from The University of Kansas !!
@CoachWallaceKU
 @Glap_IV
 @Bullard_Coach
 @Perroni247
 @MohrRecruiting
 @D1RecruitNation
 @RivalsNick
 @CoachDrones
 @DonnieBaggs_
 @SavageDline
 @EMitch_28
 @KU_Football" 7h
"#AGTG After a great conversation with 
@CoachJPeterson
 , I'm blessed and excited to receive a D1 offer from The University of Kansas!! 
@Chrisbrister5
 @KU_Football
 @CoachFuchs" 6h
"Blessed to receive an Offer to the University of Kansas! 
@CoachSimps
 @KU_Football
 @ReedHeim
 @mike_gallegos16
 @DentonGuyer_FB
 @kylekeese
 @TEP5252" 2h
"EXCITED to announce I have recieved an offer to Kansas University
#RockChalk 
@CoachWallaceKU
 @KU_Football
 @KUAthletics
 @16RJC
 @TheDWarriors
 @JosephR80735429
 @MohrRecruiting
 @BenThomasPreps
 @AL7AFootball
 @PrepRedzoneAL
 @YellowhammerFB
 @JohnGarcia_Jr
 @LightOnSports" 5h
"On this day in 2003, Bill Self became the 8th head basketball coach in the history of the University of Kansas. 
#kubball" "Apr 21"
"Blessed to receive an offer from The University Of Kansas !" 23h
"After a great conversation with 
@CoachBrandonKU
, I am extremely blessed to receive an offer from 
@KUWBball
! Let’s go Jayhawks!!!" 5h
"Primo Spears is officially in Lawrence for his visit. #KUbball" 2h
"Committed
#RockChalk" "Apr 20"
"My butthole after eating Taco Bell" 2h
"That 2019-2020 
@KUHoops
 team was something special - FIVE players went to the NBA 
@DajuanH10
 speaks on how loaded that roster was

Were they a lock to win the 2020 NCAA Tournament if the season hadn't been canceled? 

#kubball #collegebasketball" 7h
"He's 6'8"" AND can splash it from three? Sound like one of our freshmen from this past season? 

Marcus Adams Jr. will have a great impact on #kubball's roster next season 
https://blog.rockchalk.io/why-marcus-adams-jr-will-be-big-for-ku-hoops/…" 7h
"After a great conversation with 
@CoachSimps
 I am blessed to receive an offer to The University of Kansas
@KU_Football
 @coachnovakov
 @coachgalusha
 @FeetHipsHands
 @DonnieBaggs_
 @ParishFootball
 #RockChalk" "Apr 24"
"“There are no coincidences in recruiting” - 
@Andrew__Slater
 

Morris moves his announcement up. Jaylon Tyson gets a crystal ball to Cal. 

KU has two spots currently open. One is if the Big Dick wants it. Pretty clear what’s happening with the other spot now. #KUbball" 1h
"Official Jayhawk, All Glory to God
#rockchalk" "Apr 17"
"Former five star point guard/Texas Longhorn Arterio Morris will announce his decision at 5 o’clock on Friday #kubball" 3h
"Personally I think Arterio Morris would be a A+ pickup for the Jayhawks." 2h
"#AGTG After a great conversation with 
@CoachTSamuel
 I am blessed to have earned an offer from the  University of Kansas ! #jayhawks  
@rohawksfootball
 @CoachLeipold
 @drobalwayzopen
 @_CoachROB__
 @CoachTraun
 @RivalsNick
 @MikeRoach247
 @Perroni247
 @MohrRecruiting" "Apr 24"
"Blessed to receive an offer from The University of Kansas! #AGTG #RockChalk 
@CoachSimps
 @kenfen42
 @CoachRush_CTFB
 @DaveDawson_" "Apr 18"
"A bad-luck superstition keeps students from walking through the Campanile until Commencement Day. No matter if that belief is true or false, #KUGrads take their walk with pride." 5h
"#Grateful Blessed to receive an offer from The University of Kansas" "Apr 19"
"Back to where I started recruiting over a decade ago! Great coaches and players throughout H-Town

Looking for the next group of Jayhawks #PRB #Kan24s" "Apr 24"
"Decided to make a KState bingo card to counter their KU one. Use it at your disposal, Jayhawks. #RCJH #kubball #kufball" "Apr 20"
"Breaking: Nick Timberlake has transferred to Kansas! #kubball" "Apr 19"
"KU HOOPS HEARINGS LIVE NOW

Why I think Arterio Morris could be a Kansas Jayhawk soon  #kubball" 4h
"Welcome to NFL Draft Week in KC 

#RockChalk x #NFLDraft" "Apr 24"
"BREAKING: Towson transfer Nick Timberlake has committed to Kansas. Huge get for Bill Self and the Jayhawks. #KUbball" "Apr 19"
"UNC is 0-4 against KU since Self took over - fun times!
#kubball" "Apr 18"
"The former #1 PG & Five Star () recruit in the class of 2022, 6’3 Arterio Morris (Texas Transfer), is looking good in that Jayhawk Red 

#RockChalk" "Apr 19"
"Portrait of the Hidgon family. Photographed in 1898. The Joseph C. Pennell Collection, University of Kansas." "Apr 21"
"""He locked up everybody."" 

Dajuan Harris talks about how he learned from former Naismith Defensive Player of the Year and Jayhawk legend, Marcus Garrett 

#kubball #Kansas #collegebasketball" 12h
"#NowWatching The Jayhawks - Live Stubbs, Tx 3/15/97 “Trouble”" 21h
"Xavier Henry
Cole Aldrich
Sherron Collins 

#RockChalk" "Apr 21"
"Shocked me to learn even University of Kansas is about as woke as the come." "Apr 24"
"Starting 5

November 10th, 2000

#RockChalk" "Apr 23"
"Thankful to receive an offer from Kansas! 
@CoachLeipold
 @CoachFuchs
 @KUCoachZ
 #RockChalk" "Apr 24"
"BATCATS WITH THE SWEEP AGAINST THE JAYHAWKS!!" "Apr 16"
"20 years ago today, KU hired the man who would become the greatest coach in school history. #KUbball" "Apr 21"
"Incredibly blessed to announce that I am committing to the University  of Kansas to further my academic and athletic careers! Rock chalk 
@KUBaseball
 @JonCoyne33
 @butcherzzz22" "Apr 17"
"Blessed to receive an offer from The University of Kansas 
@DaveHenigan
 @CoachSimps
 @CoachMyronN
 @CoachDeLaTorre" 43s
"How about those Jayhawks? Great to see 
@KUWBball
 honored at the Current game tonight." "Apr 23"
"Appreciation post for Andy White on his last day as a university photographer for the University of Kansas, whose work defined the KU experience for so many." "Apr 21"
"LET’S GOO!!
#RockChalk" "Apr 19"
"With it being Bill Self day, what’s everyone’s favorite KU game in the Self era - not including the natty games 

Mine by far is Missouri in 2012

#kubball" "Apr 21"
"Major shoutout to freshman Will King, who fired a 2-under 68 today in Round 3 after breaking his driver shaft while warming up!

#RockChalk" 5h
"Huge Big 12 series win by 
@KUSoftball
 over Texas Tech 

Next Up: at #1 Oklahoma this weekend" 5h
"We've got the 
@TruityCU
 #7 vs. #10 matchup today!

#7 
@SHERRONCOLLINS4
 clutch steal and three to propel the comeback to win the National Championship vs. Memphis (2008)

#10 
@MagnaMari_
 insane alley-oop dunk vs. Texas (2016)" 6h
"Jayhawks offer RB DJ Butler. #kufball" 44m
"And water is wet! #KUbball" "Apr 21"
"Jayhawks offer Robby Harrison DL from Arizona State. #kufball" 46m
"JAYHAWKS TAKE THE SERIES 

Kansas gets back-to-back shutouts for the series win!" "Apr 24"
"AGTG im blessed to receive an offer from the University of Kansas #Jayhawks" "Apr 18"
"Not a good look for the Jayhawks." "Apr 19"
"It would be great if Hunter Dickinson committed to the Jayhawks today or this weekend.  Who agrees?" "Apr 20"
"Jayhawks offer OL Samir Camacho. #kufball" 1h
"""To find KSU go West till you smell it, north till you step in it.""

1978-79

#RockChalk" "Apr 17"
"Happy birthday to the great T-Rex himself, KJ Adams! #kubball" "Apr 18"
"Terry Nooner

#RockChalk" "Apr 17"
"After entering the transfer portal at the University of Kansas former Oscar Smith High School quarterback Ethan Vasko will continue his college football career at Coastal Carolina University." "Apr 24"
"Guard Nick Timberlake commits to #KUbball" "Apr 19"
"NEW: Towson transfer Nick Timberlake has committed to Kansas. #kubball" "Apr 19"
".
@udoka35
 was NOT gonna let 
@chris_teahan11
 have this loose ball 

#kubball #Kansas" "Apr 24"
"@TheFieldOf68
 @RobDauster
 @GoodmanHoops
 y’all are legit. Hunter Dickinson to KU. Coach Self would be well in line to win 3rd title. #RockChalk 
@H_Dickinson24" "Apr 21"
"Baseball game at McCook Field 

1897

(Credit:Kenneth Spencer Research Library)

#RockChalk" "Apr 23"
"WNIT champs Kansas Jayhawks are honored today at CMP." "Apr 23"
"According to On3, it’s a blue blood battle for the #1 player in the transfer portal, Hunter Dickinson. 

#BBN vs #RockChalk " "Apr 20"
"Happy birthday, king 
@youngoch
 

#kubball #RockChalk" "Apr 20"
"Our girls are 𝔽𝔸𝕊𝕋 

All 3 Jayhawks in the women’s 1500m recorded new personal best times in the event " "Apr 21"
"#AGTG More than blessed to receive my 20th offer from The University of Kansas 
@CoachSimps
 @KU_Football" "Apr 20"
"Beyond excited to announce that I will be starting as an Assistant Professor in the Dept of Chemical & Petroleum Engineering at the 
@UnivOfKansas
 @kuengineering
 in January 2024! #RockChalk #Jayhawk
Thank you to my colleagues and family for their tremendous support along the way!" "Apr 18"
"“Those places are great, but there's no place like Kansas”

#RockChalk" "Apr 22"
"Blessed to receive an offer from Kansas University! #jayhawks 
@CoachTSamuel
 @CoachLeipold
 @KU_Football
 @SWiltfong247
 @ChadSimmons_
 @JoshHelmholdt
 @MohrRecruiting
 @AllenTrieu
 @Rivals_Clint
 @adamgorney
 @On3sports" "Apr 18"
"Blessed to receive an offer from University of Kansas #jayhawks #kamsas 
@CoachSimps
 @Detroit_CTFB
 @CoachRush_CTFB
 @DaveDawson_" "Apr 18"
"This kid is going to be sooo good #kubball" "Apr 17"
"Remember when the single-game record for blocks at KU was set?

Jeff Withey really got a triple-double with 16 points, 12 rebounds, and 12 blocks 

#kubball #RockChalk" "Apr 24"
"Welcome  #kubball" "Apr 17"
"Our guy William Duquette pours in an  on the Par-5 7th! He is -3 and tied for the lead! 

#RockChalk" "Apr 24"
"@olive_york
 mail day!!! These could not have turned out better!!" "Apr 24"
"""Jayhawk Basketball! Up...up...and away!""

November 10th, 2000 
Coaches vs Cancer Classic

#RockChalk" "Apr 19"
"Nick Timberlake has committed to Kansas per his recent ig post. He is ranked as the #21 ranked transfer in the portal. #kubball" "Apr 19"
"Your turn, 
@H_Dickinson24
 

#RockChalk" "Apr 19"
"He’s coming. #ArterioMorris #RockChalk" 1h
"Nick Timerblake is a straight bucket. I can’t wait! #kubball" "Apr 19"
"#KUfball picked up a Crystal Ball pick earlier today. 

Scoop (VIP): https://247sports.com/college/kansas/board/103717/contents/KU-football-just-picked-up-a-Crystal-Ball-pick-208575574/…" "Apr 18"
"Thank you 
@CoachSvarczkopf
 for the invite to 
@KU_Football
 prospect camp! I will be there June 21st #RockChalk.
@CoachTSamuel
 @CoachJPeterson
 @CoachSimps
 @CoachWilmes25
 @JaguarsBss
 @OJsimpso32
 @JPRockMO" "Apr 20"
" enjoy Lawrence and #kubball 
@H_Dickinson24
 You will be a legend here #RockChalk" "Apr 21"
"Sherron and Cole.

What a duo. 

#RockChalk" "Apr 17"
"#AGTG blessed to receive an offer from the university of Kansas 
@CoachTSamuel
 @CoachSimps
 @rohawksfootball
 @MacCorleone74
 @CoachTraun
 @TFloss32
 @Perroni247
 @MohrRecruiting" "Apr 24"
"Happy birthday to a #kubball legend 
@Ballin25Braun
 " "Apr 17"
"Blessed & Thankful to Receive an Offer from The University of Kansas!!
@DetKingFootball
 @coachtspence
 @KU_Football" "Apr 18"
"KU HOOPS HEARING:

Primo Spears visit remains on track. He should be in Lawrence tonight.

This Hearing is in response to some questions around if the visit is happening as planned. #kubball" 10h
"Lol keep it classy Jayhawks! Got chair throwers, cheaters, and now this" 53m
"Marcus Adams Jr. is officially a Jayhawk 

Gonna be a fun one to watch 

#kubball #CollegeBasketball #Kansas" "Apr 18"
"The first incoming Transfer is official. Timberlake will be a perfect fit on this roster. Should be the first of several big transfer signings we see soon! #kubball" "Apr 19"
"Blessed to receive an offer from Kansas University! #jayhawks 
@CoachTSamuel
 @CoachLeipold
 @KU_Football
 @MohrRecruiting
 @SWiltfong247
 @On3sports
 @Rivals_Clint
 @adamgorney
 @AllenTrieu
 @DemetricDWarren
 @RitterPrep
 @BrennanSpain" "Apr 18"
"ATTN: Recent and soon-to-be KU grads 

Up to 4 years after graduation, for just $175 you can get:

 2023 
